City,Latitud,Temperature,Humidity,Cloudiness,Wind Speed
Lorengau,-2.02,28.98,75,49,4.41
Santiago de Chuco,-8.15,10.03,74,21,0.46
Tuktoyaktuk,69.45,7.0,75,75,4.6
North Platte,41.12,28.35,58,1,5.1
Yellowknife,62.46,18.01,93,75,3.1
Tiznit Province,29.58,25.32,42,0,0.81
Rikitea,-23.12,19.24,68,100,7.36
Norfolk,42.17,22.35,78,75,1.62
Mar del Plata,-38.0,10.8,100,90,8.2
Sur,22.57,29.18,70,58,6.5
Airai,-8.93,20.71,40,42,2.41
Saint-Philippe,-21.36,15.71,59,90,2.6
Meulaboh,4.14,25.88,85,100,2.05
Talcahuano,-36.72,10.0,81,20,2.6
Tautira,-17.73,28.0,61,20,3.1
Dvinskoy Bereznik,62.86,15.5,96,100,3.76
Puerto Ayora,-0.74,20.0,94,98,1.79
Busselton,-33.65,13.74,49,77,7.56
Nikolskoye,59.7,12.1,76,20,4.0
Mayo,38.89,22.9,94,1,2.04
Avarua,-21.21,25.0,88,14,5.1
‘Āhuimanu,21.44,27.26,62,40,4.6
Dikson,73.51,4.41,91,99,4.03
New Norfolk,-42.78,9.93,76,99,1.79
Kapaa,22.08,26.01,78,40,2.1
Albany,42.6,22.13,91,100,1.63
Hithadhoo,-0.6,28.64,71,97,3.78
Port Elizabeth,-33.92,13.0,100,20,5.7
Ribeira Grande,38.52,21.27,69,17,1.31
Okrika,4.74,24.45,86,100,2.76
Arman',59.7,17.78,55,20,2.92
Hilo,19.73,24.3,58,40,4.1
Ushuaia,-54.8,4.0,51,100,6.2
Middelburg,-25.78,4.77,67,0,1.5
Severo-Kuril'sk,50.68,11.12,86,100,1.59
Zhizdra,53.75,8.66,97,0,3.38
San Patricio,19.22,28.0,69,75,7.7
Cape Town,-33.93,11.55,93,0,2.6
Atuona,-9.8,26.14,75,1,8.0
Zyryanka,65.75,29.41,32,43,6.95
Hobart,-42.88,11.27,62,20,5.7
Thinadhoo,0.53,27.17,79,100,7.4
Hermanus,-34.42,11.67,96,0,0.89
Canutama,-6.53,25.48,64,82,0.7
Ahipara,-35.17,15.54,65,97,6.37
Chokurdakh,70.63,32.42,28,40,4.65
Fort Morgan,40.25,32.0,25,1,3.1
Samfya,-11.36,11.65,74,0,3.84
Kropotkin,45.44,17.64,81,0,2.76
Arraial do Cabo,-22.97,21.78,87,0,3.1
Vaini,-21.2,22.0,83,75,6.7
Grand-Santi,4.25,22.95,95,100,0.86
Bethel,41.37,22.36,95,100,0.45
San Vicente,-26.62,17.65,86,96,1.79
Bluff,-46.6,3.89,83,96,1.34
Tuatapere,-46.13,3.89,83,86,1.34
Ust-Maya,60.42,21.66,46,13,4.36
Touros,-5.2,24.0,78,75,4.1
Esperance,-33.87,15.0,82,90,9.3
Ino,33.55,28.0,83,75,3.1
Chernyshevskiy,63.01,17.98,63,0,1.9
Marawi,8.0,28.89,75,19,0.89
Mataura,-46.19,3.89,83,100,1.34
Kutum,14.2,21.26,78,97,7.13
Kaitangata,-46.28,6.11,65,95,5.81
Castro,-24.79,14.28,82,100,1.22
Sørland,67.67,11.26,81,100,9.02
Okato,-39.2,12.64,61,66,6.26
Chui,-33.7,17.75,94,100,3.03
Gonbad-e Kāvūs,37.25,26.0,83,63,3.1
Cabedelo,-6.98,23.0,83,24,3.1
Shawnee,39.05,27.8,66,1,2.1
Qaanaaq,77.48,7.18,58,0,0.33
Tamandaré,-8.76,23.55,72,0,4.45
Anstruther,56.22,14.11,93,99,2.6
Butaritari,3.07,28.6,76,93,6.78
Ilulissat,69.22,11.0,66,100,1.9
Altay,47.87,20.52,50,62,1.97
Stavern,59.0,9.56,70,0,1.5
Nome,64.5,13.03,76,1,8.2
Ardabil,38.25,16.3,89,100,2.26
Tubualá,9.52,26.56,83,40,2.6
Yangi Marg`ilon,40.43,22.0,53,37,2.1
Najrān,17.49,30.0,19,40,2.1
Afuá,-0.16,24.81,86,99,2.64
Buchanan,5.88,24.0,94,75,3.87
Provideniya,64.38,10.0,81,0,7.0
Punta Arenas,-53.15,-3.0,92,37,2.1
Fulton,33.77,26.86,74,75,2.1
Pevek,69.7,13.32,53,89,4.36
Aklavik,68.22,12.0,54,40,1.5
Thompson,55.74,25.0,57,40,1.0
Provost,52.35,22.58,81,0,4.28
East London,-33.02,17.69,30,0,3.75
Mahajanga,-15.72,18.0,68,20,3.1
Barrow,71.29,6.0,81,90,4.1
Benidorm,38.54,25.06,41,0,2.57
Ati,13.22,28.11,61,95,7.56
Ketchikan,55.34,18.21,63,90,3.1
São Francisco,-15.95,18.89,44,0,2.02
Salalah,17.02,26.0,94,90,5.1
Valday,57.97,10.19,93,96,4.07
Estevan,49.13,26.94,61,1,7.7
Betioky,-23.72,12.34,74,0,2.82
Fort Nelson,58.81,17.0,67,75,3.6
Simao,22.79,21.83,83,75,1.81
Imbituba,-28.24,17.0,93,100,1.0
Lieksa,63.32,14.01,95,100,4.02
Baraki Barak,33.97,22.41,21,0,0.96
Leningradskiy,69.38,17.58,39,100,3.15
Maniitsoq,65.42,11.92,74,68,5.23
Dalvik,65.97,9.0,81,90,3.6
Havelock,34.88,28.32,66,20,3.6
Jalu,29.03,23.01,40,0,3.88
Torbay,47.67,17.28,67,75,7.7
Harrai,22.62,26.36,79,91,3.34
Praia,14.92,27.0,78,20,1.5
Codrington,-38.27,10.59,74,100,1.87
Hrubieszów,50.8,11.18,89,19,1.75
Onega,63.91,15.59,94,99,3.71
Inyonga,-6.72,15.24,68,29,2.14
Barabai,-2.58,30.14,66,44,0.54
Jamestown,42.1,22.14,94,90,2.6
Longyearbyen,78.22,7.91,75,96,1.47
Fallon,39.47,26.06,28,75,9.3
Udachny,66.42,12.0,87,90,4.0
Saint Paul Harbor,57.79,19.0,48,1,7.2
Narsaq,60.92,18.0,54,100,12.9
Port Alfred,-33.59,18.37,38,0,4.22
San Cristobal,7.77,18.52,90,87,1.16
Stephenville,32.22,31.76,46,1,4.6
Sisimiut,66.94,12.03,72,3,0.99
Ambon City,-3.7,28.43,78,60,3.6
Norman Wells,65.28,12.0,81,75,7.7
Bandarbeyla,9.49,25.6,67,7,11.29
Lodja,-3.48,21.69,48,99,0.75
Sitka,57.05,14.0,87,90,3.6
Lodwar,3.12,26.35,61,86,7.35
Kologriv,58.83,13.63,96,99,0.59
Syracuse,37.09,22.25,88,0,2.1
Saint-Pierre,-21.34,16.38,59,90,2.6
Mount Gambier,-37.83,9.0,81,90,4.1
Kjøllefjord,70.95,9.22,93,98,5.11
Jiguaní,20.37,28.0,78,75,5.1
Lékoni,-1.58,23.73,68,100,2.62
Orlik,52.52,17.1,57,19,1.31
Yulara,-25.24,13.0,43,0,6.7
Ma’anshan,31.7,28.29,78,75,5.0
Bredasdorp,-34.53,14.0,93,0,1.0
Miandrivazo,-19.52,16.92,55,50,1.35
Sri Aman,1.24,25.78,94,20,1.0
Asău,46.43,14.44,98,90,0.63
Biloela,-24.42,17.69,75,100,6.5
Port Moresby,-9.44,28.0,74,75,5.1
Lata,40.16,19.44,73,0,0.47
Ostrovnoy,68.05,16.26,74,34,5.14
Geraldton,-28.77,19.0,72,40,5.7
Margate,51.38,15.74,67,24,0.89
Dillon,34.42,28.02,78,1,2.6
Amalāpuram,16.58,26.79,85,100,2.26
Elk City,35.41,30.0,55,1,4.1
Muncar,-8.43,25.88,81,97,3.06
Mongo,12.18,25.42,72,100,3.63
Kiryat Gat,31.61,21.43,64,0,1.05
Dubrovnik,42.65,25.0,50,0,1.0
Pangai,-19.8,25.0,61,20,3.6
Karratha,-20.74,23.92,34,0,6.46
Buraidah,26.33,34.0,28,40,3.6
Atar,20.52,32.24,34,2,3.92
Nanortalik,60.14,10.07,72,100,2.77
Guerrero Negro,27.98,20.06,81,0,8.67
Salinópolis,-0.61,26.11,82,95,4.98
Acapulco de Juárez,16.86,29.0,74,75,2.1
Coyhaique,-45.58,0.0,94,75,1.5
Porirua,-41.13,12.95,69,0,8.49
Hambantota,6.12,25.0,100,40,1.0
Piaçabuçu,-10.41,23.62,81,0,4.82
Petropavlovsk-Kamchatskiy,53.05,20.0,49,40,2.0
Portland,45.52,25.69,42,1,4.6
São Domingos do Maranhão,-5.58,23.78,55,17,2.21
Tasiilaq,65.61,3.0,93,5,1.46
Porto-Novo,6.5,24.0,94,20,3.1
Arrecife,28.96,22.0,83,9,6.2
Laguna,38.42,28.48,32,1,4.6
Divnogorsk,55.96,14.0,82,1,3.0
Kyrnasivka,48.6,13.33,90,0,2.35
La Ronge,55.1,23.0,73,75,2.71
Matara,5.95,27.39,84,85,2.77
Peniche,39.36,17.75,95,0,0.89
Port Macquarie,-31.43,18.33,70,42,0.45
Broome,42.25,22.9,73,40,1.5
Port Hardy,50.7,17.0,72,20,6.2
Baní,18.28,25.56,90,63,1.34
Moose Factory,51.26,13.0,87,1,1.5
Arenal,8.46,24.78,92,95,1.04
Kumphawapi,17.11,28.0,83,75,2.1
Molteno,-31.4,2.8,74,0,0.33
Talnakh,69.49,10.0,81,11,12.0
Río Bueno,-40.32,7.0,56,100,3.1
Karasjok,69.47,9.0,93,100,6.7
Khatanga,71.97,7.58,82,100,7.85
Clyde River,70.47,8.0,81,90,1.0
Athabasca,54.72,20.92,82,3,2.31
São Raimundo Nonato,-9.02,21.54,66,100,2.21
Abu Dhabi,24.47,32.0,55,96,9.3
Srednekolymsk,67.45,30.24,27,83,3.22
Road Town,18.42,28.14,89,0,1.34
Cidreira,-30.18,18.26,76,99,5.0
Lavrentiya,65.58,12.71,57,44,4.56
Carnarvon,-24.87,18.0,100,0,5.1
Los Llanos de Aridane,28.66,22.0,78,20,5.7
Twentynine Palms,34.14,36.59,10,1,6.2
Saint-Jean-de-la-Ruelle,47.91,13.58,62,12,1.0
Maydolong,11.5,29.84,70,59,2.85
Riyadh,24.69,32.0,46,1,2.1
Fortuna,40.6,14.28,93,90,4.1
Ulladulla,-35.35,13.43,58,40,4.1
Arlit,18.74,33.15,35,0,7.2
Igarka,67.47,16.18,53,57,5.77
Katsuura,35.13,25.0,86,100,1.34
Koslan,63.46,17.78,74,54,4.55
Westport,41.14,22.34,88,40,4.6
Henties Bay,-22.12,19.17,31,0,2.31
Cabo San Lucas,22.89,28.86,69,20,8.2
Diego de Almagro,-26.37,4.08,93,5,1.38
Hanzhong,33.07,22.19,92,100,1.07
Sorong,-0.88,28.95,71,2,3.7
Kilgore,32.39,26.89,78,1,2.6
Pacific Grove,36.62,16.99,72,75,6.7
Souillac,-20.52,21.0,52,75,7.7
Kavieng,-2.57,29.73,71,21,5.99
Quba,41.36,21.16,49,89,3.41
Vitim,59.45,22.57,50,91,1.27
Sioux Lookout,50.1,24.0,41,40,1.5
De-Kastri,51.47,14.87,89,100,2.01
Leh,34.17,12.54,37,22,2.93
Atbasar,51.8,17.42,68,99,5.89
Upernavik,72.79,7.57,76,0,5.99
Cartagena,10.4,26.94,83,61,2.54
San Jose,37.34,24.21,50,20,7.2
Enumclaw,47.2,21.63,70,0,1.34
Victor Harbor,-35.57,11.11,72,0,0.45
Charter Township of Clinton,42.59,27.14,69,75,3.6
Tocopilla,-22.09,13.78,71,19,2.68
Talara,-4.58,17.19,86,93,5.92
Umluj,25.02,28.76,76,3,2.69
Jiuquan,39.74,20.98,48,100,2.77
Caohai,26.87,18.25,86,100,4.55
Queanbeyan,-35.35,6.8,93,90,1.5
Kapoeta,4.77,21.0,92,85,2.98
Port Blair,11.67,28.9,69,89,1.65
College,64.86,16.9,52,75,1.93
Cayenne,4.93,24.0,100,100,3.03
George Town,5.41,26.83,83,20,1.5
Nhulunbuy,-12.23,28.0,58,40,5.7
Taoudenni,22.68,38.52,20,38,3.93
San Luis,-33.3,5.09,84,100,7.56
Ponta do Sol,32.67,19.07,68,20,5.1
Dejen,10.17,11.47,100,96,1.98
Port-Gentil,-0.72,24.42,80,49,5.06
Oddur,4.12,21.18,72,67,9.74
Hong Kong,22.29,30.9,74,6,2.24
Bāfq,31.61,24.13,18,0,0.83
Marabu,4.41,26.84,88,40,2.6
Goderich,43.75,21.48,86,0,2.89
Nabire,-3.37,28.55,74,2,1.6
Neiafu,-18.65,26.0,69,40,4.1
Baykit,61.67,14.52,77,100,0.82
Mahébourg,-20.41,21.0,52,75,7.7
Tancanhuitz,21.6,26.7,65,1,2.49
Payo,-3.75,27.36,71,92,0.37
Huarmey,-10.07,16.28,84,17,3.37
Sistranda,63.73,10.0,93,40,5.1
Bosaso,11.28,30.61,45,8,10.51
San Policarpo,12.18,30.19,67,95,3.26
Chapais,49.78,15.0,93,90,2.6
Andenes,69.31,11.0,93,100,8.2
Séguéla,7.96,21.29,98,100,3.04
Pacifica,37.61,15.31,87,90,3.1
Butembo,0.15,14.28,99,100,0.92
Qandala,11.47,30.35,50,3,6.15
Fare,-16.7,25.47,76,1,7.9
Gushikawa,26.35,30.85,74,75,2.6
Clemencia,10.57,28.0,83,20,2.6
Necochea,-38.55,9.44,99,100,8.49
Quatre Cocos,-20.21,20.18,52,75,7.7
Kānkānhalli,12.55,25.2,100,40,1.0
Ixtapa,20.7,30.0,74,75,4.1
Kipushi,-11.77,9.6,72,5,2.72
Salym,60.06,13.27,61,0,2.18
Ranfurly,-45.13,4.44,52,37,1.79
Hudson Bay,52.85,22.29,81,1,2.91
Tiksi,71.69,14.66,75,41,2.39
Makakilo City,21.35,27.22,65,90,3.1
Hofn,64.25,9.57,84,100,4.5
Binzhou,37.37,26.67,70,26,0.45
Banjar,-8.19,27.0,100,40,5.7
Fairbanks,64.84,16.2,63,75,4.1
Ugoofaaru,5.67,27.87,79,72,9.7
Lebu,-37.62,8.11,82,56,2.02
Morondava,-20.28,20.06,59,0,6.12
Chingola,-12.53,8.8,81,0,2.56
Seymchan,62.88,25.36,39,75,2.66
Kashgar,39.45,20.0,42,0,3.0
Vestmannaeyjar,63.44,10.75,83,100,1.41
Saskylakh,71.92,9.9,90,100,5.35
Barra do Bugres,-15.07,20.74,35,0,0.65
Nouakchott,18.09,28.0,83,40,8.2
Tikhvin,59.65,10.03,96,4,3.04
Chicama,-7.84,16.15,83,6,2.53
Byron Bay,-28.65,14.94,72,40,4.6
Alofi,-19.06,24.0,88,75,7.2
Chivilcoy,-34.9,12.78,99,100,1.34
Hasaki,35.73,23.03,100,75,2.6
Grand Gaube,-20.01,19.44,67,52,1.34
Mayumba,-3.43,20.63,89,64,0.64
Kipini,-2.53,24.78,74,8,9.46
Zatoka,46.07,20.77,49,95,1.0
Zhigansk,66.77,17.95,66,6,8.85
Pimentel,-6.84,16.25,88,0,5.65
Zeya,53.75,23.72,50,100,3.77
Hauterive,46.09,17.0,93,0,0.5
Bambanglipuro,-7.95,27.05,69,42,6.08
Saint-Augustin,51.23,16.18,61,48,3.63
Villa Bruzual,9.33,23.25,93,13,0.77
La Rioja,42.25,21.0,77,0,3.6
Kushmurun,52.45,20.49,71,91,7.57
Acaraú,-2.89,24.37,79,16,5.27
Sol'-Iletsk,51.16,17.23,86,80,2.76
Yatou,37.15,20.88,94,100,16.1
Bengkulu,-3.8,27.66,69,46,1.43
Waingapu,-9.66,27.52,56,11,8.08
Usta Muhammad,28.18,34.25,46,0,3.4
Pahrump,36.21,37.22,16,0,1.34
Bonanza,14.03,23.11,95,94,0.49
Tanabe,33.73,29.0,70,75,2.1
Almaty,43.25,22.0,49,40,2.0
Tigil',57.8,18.86,48,48,1.27
Mosquera,4.71,14.0,76,20,1.5
Cherskiy,68.75,28.01,24,98,6.41
Pangody,65.85,11.29,67,0,6.78
Sibu,2.3,23.93,94,40,1.42
Lake Elsinore,33.67,26.1,52,0,3.58
Gannan,47.91,33.37,32,19,3.71
Araouane,18.9,35.37,29,0,3.55
Santa Cruz de la Sierra,-17.8,24.0,78,75,4.1
Lázaro Cárdenas,17.96,27.3,79,100,1.47
Agadez,19.75,30.18,17,0,5.48
Ocampo,21.65,15.6,83,100,2.15
Tsimmerbude,54.67,13.0,87,40,4.0
Yerbogachën,61.28,19.65,58,0,1.77
Yarmouth,41.71,23.76,88,90,2.1
Elban,50.1,22.41,72,83,4.19
Yei,4.09,18.29,94,94,1.23
West Plains,36.73,25.5,78,1,2.1
Ayutla,20.12,21.39,77,100,1.54
Sept-Îles,50.2,17.57,77,75,2.1
Shingū,33.73,29.0,70,75,2.1
Saint George,37.1,36.94,12,1,4.6
Am Timan,11.03,22.68,92,100,0.73
Hay River,60.82,18.0,88,75,2.6
Alappuzha,9.49,26.01,87,100,2.79
Bambous Virieux,-20.34,20.26,52,75,7.7
Kruisfontein,-34.0,13.2,41,0,3.32
Stokmarknes,68.56,8.95,89,100,0.89
Chililabombwe,-12.36,9.88,76,6,3.06
Waddān,29.16,18.8,82,0,1.37
Bahía Honda,22.9,25.6,84,100,3.56
Twin Falls,42.56,22.14,64,20,9.8
Kincardine,56.07,13.92,93,75,2.6
Forsytheganj,52.63,9.12,94,0,3.22
Poltavka,54.37,19.62,64,0,1.06
Saldanha,-33.01,10.0,87,0,1.5
Ţăndărei,44.65,22.22,52,12,1.34
Eastbourne,50.77,13.59,80,54,0.89
Lüderitz,-26.65,16.0,41,0,1.0
Caarapó,-22.63,18.63,53,45,2.43
Korla,41.76,22.78,94,100,3.95
Nouadhibou,20.93,22.0,83,85,6.2
Chikwawa,-16.03,14.99,84,2,1.54
Manzanillo,20.34,26.39,82,90,1.38
Zalesovo,53.99,16.19,74,0,1.51
Nioro,13.35,25.44,86,79,3.3
Shanghai,31.22,33.77,70,75,5.0
Tonj,7.27,19.57,97,100,1.5
Vangaindrano,-23.35,14.73,79,0,2.72
Labuhan,-6.88,27.11,73,75,2.87
Christiana,-27.91,2.64,70,0,1.7
Prince Albert,53.2,27.0,61,20,5.7
Caravelas,-17.71,19.81,70,0,1.15
Jambi City,-1.6,27.26,81,100,1.94
Winder,33.99,26.03,74,75,3.6
Novopokrovka,49.84,12.81,67,0,2.0
Luau,-10.71,14.04,44,0,3.81
Turukhansk,65.82,17.14,49,100,4.3
Arica,-18.48,16.0,77,90,0.5
Siguiri,11.67,23.29,91,100,1.51
Grindavik,63.84,9.0,81,75,4.1
Luanda,-8.84,22.0,83,75,1.0
Nikolayevka,53.13,15.08,89,0,2.34
Nishihara,26.18,30.63,79,75,3.6
Sambava,-14.27,19.51,75,99,7.64
Örnsköldsvik,63.29,11.0,66,100,8.2
Kavaratti,10.57,28.2,74,100,3.01
Casa Nova,-9.42,21.97,80,96,9.56
Beringovskiy,63.05,10.5,75,0,5.75
Khovd,48.01,18.72,54,24,1.53
Tongzhou,39.91,30.67,58,0,1.0
Maltahöhe,-24.83,5.01,55,0,1.98
Meadow Lake,34.8,22.2,39,90,2.6
Upata,8.01,24.44,90,100,0.45
Francisco Beltrão,-26.08,16.63,90,100,0.9
Faanui,-16.48,25.14,77,0,7.84
Panama City,8.99,26.12,88,100,2.6
Corinth,37.94,26.7,35,0,0.45
Rājāpur,25.38,31.58,61,73,3.59
Petukhovo,55.07,17.99,71,98,4.24
Damietta,31.42,24.55,89,0,3.56
Iki-Burul,45.82,20.75,49,9,5.0
Skibbereen,51.55,14.0,100,75,5.7
Ancud,-41.87,3.89,93,100,2.1
Cao Bang,22.67,29.31,64,15,2.19
Sobolevo,54.43,9.04,96,13,4.42
Suez,29.97,22.0,84,0,3.16
Mahabalipuram,12.63,28.0,78,75,4.1
Bonthe,7.53,24.75,90,100,3.09
Bartica,6.4,25.0,94,20,1.5
Dapdap,12.06,30.25,67,89,3.22
Jaqué,7.52,25.98,81,100,1.6
Falmouth,50.15,13.93,93,92,1.5
Kumluca,36.37,28.9,36,0,3.57
Halvad,23.02,28.98,76,92,6.18
Tura,25.52,24.0,96,100,1.54
Sanmenxia,34.77,26.33,58,100,4.29
Opunake,-39.46,12.02,86,56,4.92
Flinders,-34.58,16.67,70,1,1.79
Pavlodar,52.3,20.0,52,0,2.0
Natal,-5.79,24.0,78,75,4.1
Praia da Vitória,38.73,20.0,82,10,1.42
Plouzané,48.38,13.35,100,90,2.1
San Juan de los Morros,9.91,20.92,93,91,1.15
Farafangana,-22.82,16.21,76,7,2.69
Kumul,42.8,30.36,23,52,2.92
Zhezkazgan,47.8,23.0,56,100,3.08
Anadyr,64.75,13.94,58,64,5.0
Jacareacanga,-6.22,24.59,62,12,0.46
Binga,-17.62,12.42,57,0,0.68
Vila Franca do Campo,37.72,18.0,77,20,2.1
Coahuayana Viejo,18.73,26.77,80,100,0.45
Tondano,1.3,30.0,66,20,2.6
Natchitoches,31.77,26.0,94,1,1.91
Sibolga,1.74,24.88,87,100,1.65
Port Lincoln,-34.73,12.7,62,0,4.73
Klaksvík,62.23,8.0,93,100,2.4
Pitimbu,-7.47,23.0,83,2,3.1
Nantucket,41.28,22.1,94,90,4.1
Porto Franco,-6.34,24.59,54,16,1.05
Dhanwār,24.42,27.96,78,68,3.2
Shenkursk,62.11,15.02,96,100,3.09
Hamilton,39.18,24.74,88,1,1.5
Kaabong,3.48,16.55,84,69,1.97
Trofors,65.53,10.78,81,100,5.7
The Valley,18.22,27.48,74,20,5.7
Hazorasp,41.32,23.0,69,0,2.1
La Romana,18.43,24.0,94,40,2.1
Shimoda,34.67,26.0,88,75,2.6
Melioratorov,57.21,17.0,77,80,4.0
Sola,-13.88,25.73,79,100,8.16
Poso,-1.4,27.39,79,99,1.32
Taku,39.02,29.0,51,0,4.0
Ngunguru,-35.62,16.11,3,95,4.47
Santa Fe,-31.63,14.18,76,100,0.89
Puerto Baquerizo Moreno,-0.9,20.47,84,97,5.55
Aksarka,66.56,12.22,64,0,2.07
Les Cayes,18.2,26.79,75,79,2.28
Havre-St-Pierre,50.23,14.0,87,1,3.1
Poya,-21.35,22.75,58,88,3.11
Hirara,24.8,31.0,70,40,3.1
Ponta Delgada,37.73,18.0,77,20,2.1
Inuvik,68.35,12.0,54,40,1.5
Tacuarembó,-31.73,18.03,88,100,2.05
Rosita,13.93,23.95,96,97,0.29
Bereda,43.27,15.58,100,75,1.34
Djibouti,11.5,33.0,49,40,4.16
Mergen,49.18,29.3,49,89,4.41
Wanning,18.8,31.28,61,1,3.06
Puro,12.48,30.21,68,14,3.77
Ji’an,27.12,32.58,61,30,4.71
Richards Bay,-28.78,14.61,85,5,2.95
Krasnoarmeysk,51.02,18.89,72,0,3.58
Mahibadhoo,3.78,28.25,79,100,8.51
Coração de Jesus,-16.69,17.31,50,0,4.25
Palmer,42.16,22.39,94,90,3.1
Malanje,-9.54,12.85,58,70,1.09
Anandnagar,27.1,27.7,83,33,4.38
Oktyabr'skoye,43.06,18.94,82,94,1.0
Broken Hill,-31.95,10.0,66,0,3.6
Rjukan,59.88,4.13,90,3,4.47
Egvekinot,66.32,16.83,50,96,2.34
Ciudad del Carmen,18.63,30.0,74,75,3.1
Jumla,29.27,18.74,59,16,1.1
Whitianga,-36.83,16.67,68,85,4.47
Roald,62.58,8.47,87,88,0.5
Houston,29.76,28.9,83,75,1.5
Elliot Lake,46.38,18.0,88,1,1.0
Muroto-misakicho,33.28,28.0,83,75,3.1
Aripuanã,-9.17,24.24,51,18,0.54
Três Corações,-21.7,14.89,65,0,1.51
Mazagão,-0.12,26.0,100,75,1.5
San Gavino Monreale,39.55,22.0,77,0,2.1
Kresttsy,58.25,10.43,93,90,2.84
Turaif,31.67,27.0,44,0,3.1
Ayan,56.45,12.67,82,95,3.59
Birjand,32.87,21.0,19,0,3.1
Maturin,9.75,23.22,93,100,2.02
Santa Rosa,14.31,32.15,59,1,3.1
Quaraí,-30.39,20.19,82,100,2.35
Manakara,-22.13,15.64,79,44,2.16
Auki,-8.77,28.99,66,93,2.89
Humberto de Campos,-2.6,23.51,82,4,2.65
Burns Lake,54.23,19.77,42,80,3.02
Deputatsky,69.3,26.4,34,86,3.54
Rosarito,32.33,21.27,68,5,3.1
Pilar,-9.6,22.0,94,75,2.1
Sabha,27.04,23.01,41,0,5.72
Fukuechō,32.69,27.0,94,75,3.6
Concepción del Uruguay,-32.48,14.44,92,100,0.89
Collie,-33.37,11.11,81,33,1.34
Guiratinga,-16.35,20.27,39,0,1.82
Ýpsonas,34.69,25.0,69,0,1.64
Honiara,-9.43,32.0,62,40,6.2
Nong Kung Si,16.65,28.0,83,40,1.5
Mpongwe,-13.51,10.24,78,0,2.89
Sarlat-la-Canéda,44.89,18.33,91,29,0.33
La Libertad,-2.23,21.0,88,75,5.1
Bloomfield,40.81,22.46,94,20,4.86
Santa Rosa de Lima,13.62,25.11,84,81,0.71
Hailun,47.45,26.65,64,10,2.29
Rawlins,41.79,27.0,19,1,7.2
Tame,6.46,22.27,87,99,1.59
Adrar,20.5,34.32,24,0,5.04
Basco,20.45,29.66,79,32,4.26
Nago,26.59,30.85,74,75,2.6
Mount Isa,-20.73,23.0,33,0,6.2
Aksu,41.12,25.47,35,0,2.54
Kabalo,-6.05,19.09,53,73,1.08
Laas,46.62,12.0,93,75,1.5
Pizarro,4.95,24.63,87,100,2.32
Christchurch,-43.53,7.55,81,100,4.1
Namatanai,-3.67,29.53,70,52,3.95
São Luiz Gonzaga,-28.41,19.6,81,100,3.21
Simpang,-1.27,28.17,70,76,1.96
Pravda,46.94,19.0,59,20,4.0
Oodweyne,9.41,22.1,60,99,9.45
Bilibino,68.05,25.87,31,100,6.33
Hammerfest,70.66,8.0,100,100,8.7
Kloulklubed,7.04,30.0,70,75,2.1
